"sale_price","sale_date","address","beds","full_baths","half_baths","sqft","acres","lat","long"
570000,2025-08-28,"111 N ASHLEY ST 802, Ann Arbor, MI 48104",2,2,0,1091,NA,42.281602388649,-83.749800959762
6750000,2025-08-28,"1619 S UNIVERSITY AVE, ANN ARBOR, MI 48103",10,3,0,2887,0.207,42.275166543417,-83.728224797773
NA,2025-08-28,"1826 VIRNANKAY CIR, Ann Arbor, MI 48103",2,1,0,912,0.154,42.268866936706,-83.769506406421
640000,2025-08-27,"2946 CORSTON RD, ANN ARBOR, MI 48105",3,3,1,1980,NA,42.314793517717,-83.710301987211
NA,2025-08-27,"3117 EARLMOORE LN, ANN ARBOR, MI 48105",4,1,2,1938,0.135,42.318372096546,-83.697508736668
183500,2025-08-27,"2834 PITTSFIELD BLV, Ann Arbor, MI 48104",2,1,0,695,NA,42.24699548789,-83.692393217945
585000,2025-08-27,"572 TREGO CIR, ANN ARBOR, MI 48103",3,2,0,1847,0.202,42.27494093395,-83.789508768656
NA,2025-08-27,"1300 ARBORVIEW BLVD, ANN ARBOR, MI 48103",3,2,0,1092,0.189,42.286179443356,-83.763505782879
462630,2025-08-27,"2231 TRILLIUM LN 31, ANN ARBOR, MI 48104",0,1,0,792,NA,NA,NA
504000,2025-08-27,"22 HAVERHILL CT, ANN ARBOR, MI 48105",4,1,1,2056,NA,42.31546189982,-83.705703541094
NA,2025-08-26,"3299 TURNBERRY LA, Ann Arbor, MI 48108",3,2,1,1600,0.115,42.236126266619,-83.689322017744
100,2025-08-26,"2113 DELAWARE DR, Ann Arbor, MI 48103",0,1,2,2039,0.359,42.25411446095,-83.768406406466
100,2025-08-26,"1800 FAIR ST, Ann Arbor, MI 48103",4,2,0,1555,0.187,42.278295409887,-83.769315318332
NA,2025-08-26,"113 FAIRVIEW DR, Ann Arbor, MI 48103",4,2,0,1668,0.177,42.28206518443,-83.775103399475
NA,2025-08-26,"301 WILDWOOD AV, Ann Arbor, MI 48103",4,2,0,2710,0.293,42.284613573684,-83.76785260822
100,2025-08-26,"1360 ARDMOOR AV, Ann Arbor, MI 48103",4,2,1,2237,0.251,42.264744646944,-83.765230663649
NA,2025-08-26,"1444 FERDON RD, Ann Arbor, MI 48104",4,1,1,2666,0.303,42.263976558335,-83.725487925244
1,2025-08-26,"2035 YEOMAN CT, Ann Arbor, MI 48103",3,2,1,1856,0.32,42.25583358018,-83.77115044431
NA,2025-08-26,"1014 BALDWIN AV, Ann Arbor, MI 48104",4,3,1,2178,0.2,42.270209532597,-83.727256680872
NA,2025-08-26,"2897 RENFREW ST, ANN ARBOR, MI 48105",3,1,1,2024,0.207,42.308009622274,-83.705501129712
448830,2025-08-26,"2231 TRILLIUM LN 20, Ann Arbor, MI 48104",0,1,0,792,NA,NA,NA
474555,2025-08-26,"2231 TRILLIUM LN 10, ANN ARBOR, MI 48104",2,1,0,772,NA,NA,NA
550000,2025-08-25,"3084 CHARING CROSS RD, Ann Arbor, MI 48108",0,2,2,2284,1.467,42.243998438494,-83.689504389279
NA,2025-08-25,"3655 WALDENWOOD DR, ANN ARBOR, MI 48105",3,1,1,1794,0.353,42.287074840497,-83.684511644512
1225000,2025-08-25,"1506 SHADFORD RD, Ann Arbor, MI 48104",4,2,1,2373,0.145,42.261638313303,-83.729431086718
1,2025-08-25,"307 BRIERWOOD ST, Ann Arbor, MI 48103",3,2,0,1424,0.117,42.284585759222,-83.768847607231
1065000,2025-08-25,"1544 NEWPORT CREEK DR, ANN ARBOR, MI 48103",4,4,0,3672,0.459,42.304745854055,-83.768400605362
1226600,2025-08-25,"2315 TALL OAKS DR, ANN ARBOR, MI 48103",3,3,1,3240,0.681,42.305967768614,-83.771706318179
965000,2025-08-25,"1622 FULMER ST, ANN ARBOR, MI 48103",0,3,0,1992,0.191,42.295665643867,-83.77685157874
NA,2025-08-25,"2780 PAGE AV, Ann Arbor, MI 48104",0,1,1,1262,NA,42.249096785354,-83.724766864062
1,2025-08-25,"3599 BURBANK DR, ANN ARBOR, MI 48105",2,1,1,1140,NA,42.317271690655,-83.692174229251
630000,2025-08-25,"433 S ASHLEY ST, Ann Arbor, MI 48103",0,2,1,1394,NA,42.2769210897,-83.749882871509
NA,2025-08-25,"433 S ASHLEY ST, Ann Arbor, MI 48103",0,2,1,1394,NA,42.2769210897,-83.749882871509
490000,2025-08-22,"435 SUMARK WAY, Ann Arbor, MI 48103",3,3,1,1797,0.185,42.246721070745,-83.754848845477
458000,2025-08-22,"2529 W TOWNE ST, ANN ARBOR, MI 48103",3,3,1,1869,NA,42.273840943818,-83.781300169211
395000,2025-08-22,"1040 GREENHILLS DR, ANN ARBOR, MI 48105",4,1,2,2063,NA,NA,NA
